uid,pid,ptm,pen,desc,cat,pey,act
58414,652374,PIT,MG-0500,Offensive Holding,2,10,A
58415,652378,NE,NS-0500,Unnecessary Roughness,6,15,A
58416,652388,PIT,KB-0750,Illegal Formation,3,5,A
58417,652392,NE,MS-2100,Illegal Block Above the Waist,7,10,A
58418,652396,NE,NS-0500,Offensive Holding,2,10,A
58419,652428,PIT,CW-0400,Offensive Holding,2,10,A
58420,652449,PIT,CA-0600,Defensive Pass Interference,5,28,A
58421,652477,NE,PC-0300,Defensive Pass Interference,5,4,A
58422,652480,PIT,KB-0750,False Start,1,4,A
58423,652491,PIT,SM-2200,Defensive Holding,5,5,A
58424,652496,PIT,,Illegal Formation,3,0,D
58425,652496,NE,EM-0270,Offensive Holding,2,10,A
58426,652500,NE,,Illegal Formation,3,5,A
58427,652505,PIT,CA-0600,Defensive Holding,5,5,A
58428,652511,NE,,Defensive Holding,5,10,A
58429,652518,PIT,KB-0750,Illegal Use of Hands,2,10,A
58430,652536,CHI,VD-0300,False Start,1,5,A
58431,652567,GB,NP-0130,Neutral Zone,4,5,A
58432,652571,GB,MD-0060,Neutral Zone,4,5,A
58433,652576,GB,SS-1300,Defensive Offside,4,4,A
58434,652579,CHI,JB-8200,Offensive Holding,2,0,O
58435,652579,GB,SS-1300,Defensive Holding,5,0,O
58436,652588,CHI,WY-0300,Defensive Offside,4,0,D
58437,652591,GB,DB-0350,Offensive Holding,2,10,A
58438,652593,GB,BB-3700,Offensive Holding,2,10,A
58439,652620,GB,BR-0100,Defensive Holding,5,5,A
58440,652628,CHI,MS-2300,Offensive Holding,2,10,A
58441,652635,GB,RC-1500,Illegal Formation,3,5,A
58442,652637,GB,DB-0350,False Start,1,5,A
58443,652651,CHI,JA-0900,Defensive Offside,4,5,A
58444,652652,CHI,SM-2300,Defensive Pass Interference,5,0,D
58445,652669,CHI,VD-0300,False Start,1,5,A
58446,652672,GB,NP-0130,Illegal Block Above the Waist,7,10,A
58447,652674,CHI,WY-0300,Defensive Offside,4,5,A
58448,652677,CHI,KF-0500,Defensive Pass Interference,5,34,A
58449,652682,GB,SR-0650,Unnecessary Roughness,6,15,A
58450,652691,HOU,VW-0200,Defensive Offside,4,5,A
58451,652749,KC,JR-1500,Illegal Use of Hands,2,0,D
58452,652796,HOU,KJ-0100,Defensive Offside,4,5,A
58453,652818,HOU,,False Start,1,5,A
58454,652828,KC,JR-1500,Offensive Holding,2,10,A
58455,652830,HOU,EP-0550,Offensive Holding,2,7,A
58456,652833,HOU,BH-1900,Intentional Grounding,3,12,A
58457,652845,KC,JF-2050,Defensive Pass Interference,5,15,A
58458,652857,HOU,DB-4900,False Start,1,5,A
58459,652892,NYJ,LD-0800,Defensive Offside,4,5,A
58460,652894,CLE,JG-3100,False Start,1,5,A
58461,652897,CLE,AM-0100,Unnecessary Roughness,6,15,A
58462,652901,CLE,PK-0300,Neutral Zone,4,5,A
58463,652908,CLE,IC-0300,Chop Block,7,15,A
58464,652910,CLE,AB-3850,Offensive Holding,2,10,A
58465,652911,CLE,MS-0550,Illegal Formation,3,5,A
58466,652918,NYJ,BM-0300,Offensive Holding,2,10,A
58467,652924,CLE,JB-3550,Offensive Holding,2,10,A
58468,652937,CLE,JM-0850,Delay of Game,3,5,A
58469,652953,CLE,CR-1150,Offensive Holding,2,9,A
58470,652960,CLE,MS-0550,False Start,1,5,A
58471,652969,CLE,JH-0100,Unnecessary Roughness,6,15,A
58472,652977,CLE,JH-0100,Defensive Pass Interference,5,0,D
58473,652988,NYJ,QC-0350,Neutral Zone,4,5,A
58474,652993,CLE,AM-0100,Offensive Holding,2,10,A
58475,652994,NYJ,MW-2250,Illegal Block Above the Waist,7,10,A
58476,653031,IND,KH-2250,Offensive Holding,2,10,A
58477,653032,IND,LL-1200,False Start,1,5,A
58478,653050,BUF,CC-2100,Chop Block,7,15,A
58479,653056,IND,DA-0850,Offensive Holding,2,10,A
58480,653059,BUF,JH-5900,Personal Foul,6,15,A
58481,653072,IND,AC-1200,Offensive Holding,2,9,A
58482,653084,BUF,JH-5900,Defensive Offside,4,5,A
58483,653087,BUF,NB-0500,Defensive Holding,5,0,O
58484,653087,IND,JM-4150,Illegal Formation,3,0,O
58485,653099,BUF,EW-1600,Offensive Holding,2,10,A
58486,653107,IND,EW-0100,Roughing the Passer,6,15,A
58487,653112,BUF,MM-5700,Offensive Holding,2,10,A
58488,653118,BUF,RB-3350,Personal Foul,6,15,A
58489,653128,BUF,RD-0050,Illegal Use of Hands,5,0,D
58490,653133,BUF,JH-5900,Face Mask,6,3,A
