uid,pid,ptm,pen,desc,cat,pey,act
58762,655875,CHI,ZM-0250,Offensive Pass Interference,2,10,A
58763,655876,ARI,KM-1950,Defensive Pass Interference,5,22,A
58764,655900,CHI,KF-0500,Defensive Pass Interference,5,42,A
58765,655907,ARI,JM-1650,Neutral Zone,4,5,A
58766,655921,ARI,MF-0950,Offensive Pass Interference,2,10,A
58767,655926,CHI,AB-0200,Defensive Pass Interference,5,38,A
58768,655930,CHI,WS-0950,Defensive Offside,4,5,A
58769,655935,CHI,SA-0100,Offensive Holding,2,10,A
58770,655938,ARI,CR-0500,Encroachment,4,5,A
58771,655942,CHI,JB-8200,False Start,1,5,A
58772,655948,ARI,RJ-0900,Defensive Offside,4,0,D
58773,655953,ARI,TM-0850,Neutral Zone,4,1,A
58774,655961,CHI,PM-0500,Roughing the Passer,6,15,A
58775,655965,CHI,WM-0800,False Start,1,5,A
58776,655974,CHI,,12 On-field,3,5,A
58777,655982,CHI,VD-0300,Offensive Holding,2,10,A
58778,655991,ARI,MG-0925,False Start,1,5,A
58779,655993,CHI,VD-0300,False Start,1,5,A
58780,655994,CHI,JB-8200,Offensive Holding,2,10,A
58781,655999,CHI,AB-0200,Illegal Contact,5,5,A
58782,656001,ARI,LF-0200,Offensive Offside,8,5,A
58783,656007,ARI,CP-0500,Delay of Game,3,5,A
58784,656027,CHI,JB-8200,False Start,1,5,A
58785,656050,BUF,RJ-0875,Illegal Block Above the Waist,7,10,A
58786,656057,NE,RG-2200,False Start,1,5,A
58787,656062,BUF,ME-0100,Offensive Holding,2,10,A
58788,656066,BUF,CS-0850,Delay of Game,3,0,A
58789,656067,BUF,CG-1700,Unnecessary Roughness,6,0,D
58790,656067,BUF,DW-3950,Unnecessary Roughness,6,14,A
58791,656070,BUF,AW-1200,Taunting,6,15,A
58792,656085,NE,RJ-1850,Running Into the Kicker,6,5,A
58793,656089,BUF,AW-1200,Unnecessary Roughness,6,15,A
58794,656092,BUF,JM-4550,Illegal Use of Hands,2,0,D
58795,656101,BUF,MM-5700,Illegal Formation,3,5,A
58796,656103,NE,BF-0600,Defensive Pass Interference,5,39,A
58797,656105,NE,MB-5250,Taunting,6,15,A
58798,656107,NE,RG-2200,Illegal Shift,3,0,D
58799,656109,BUF,RD-0050,Defensive Holding,5,5,A
58800,656110,NE,JK-1650,Offensive Holding,2,10,A
58801,656128,NE,,12 On-field,3,5,A
58802,656132,NE,DA-1425,Offensive Holding,2,10,A
58803,656134,NE,DA-1425,False Start,1,5,A
58804,656141,NE,JK-1650,False Start,1,5,A
58805,656147,BUF,SW-0450,Offensive Pass Interference,2,10,A
58806,656148,BUF,,Unsportsmanlike Conduct,6,9,A
58807,656151,BUF,CG-1250,Offensive Holding,2,10,A
58808,656157,BUF,RD-0050,Defensive Holding,5,5,A
58809,656171,NE,PC-0300,Offensive Holding,2,10,A
58810,656195,NE,AD-1450,Offensive Pass Interference,2,10,A
58811,656200,BUF,SH-0650,Illegal Use of Hands,2,10,A
58812,656204,NE,DH-2950,Illegal Contact,5,0,D
58813,656208,BUF,CH-3350,Offside on Free Kick,3,0,D
58814,656208,BUF,,Illegal Block Above the Waist,7,0,D
58815,656217,BUF,NB-0500,Defensive Pass Interference,5,22,A
58816,656240,CIN,MJ-1800,Defensive Offside,4,0,D
58817,656246,CIN,RH-1875,Offensive Holding,2,10,A
58818,656258,CIN,GB-0350,Illegal Block Above the Waist,7,10,A
58819,656270,SD,CH-0200,Offensive Holding,2,0,D
58820,656272,SD,CH-0200,False Start,1,5,A
58821,656279,CIN,AW-1100,Offensive Holding,2,10,A
58822,656281,SD,JV-0425,Face Mask,6,15,A
58823,656285,CIN,RM-1600,Neutral Zone,4,5,A
58824,656293,SD,JB-1400,Illegal Formation,3,0,D
58825,656305,CIN,DK-0750,Defensive Holding,5,0,D
58826,656316,SD,CH-0200,Offensive Holding,2,0,D
58827,656322,SD,MI-0150,Illegal Contact,5,5,A
58828,656325,SD,MI-0150,Defensive Offside,4,0,D
58829,656330,SD,ND-0600,Unsportsmanlike Conduct,6,10,A
58830,656334,CIN,JS-2050,Offensive Holding,2,10,A
58831,656339,CIN,AG-1500,Offensive Pass Interference,2,10,A
58832,656347,CIN,TK-0850,Offensive Holding,2,10,A
58833,656348,SD,JV-0425,Unnecessary Roughness,6,4,A
58834,656351,CIN,MJ-2250,False Start,1,5,A
58835,656355,SD,OF-0100,Offensive Holding,2,10,A
58836,656357,SD,JB-1400,False Start,1,5,A
58837,656358,CIN,DK-0750,Illegal Contact,5,5,A
58838,656362,SD,CW-1050,Offensive Holding,2,10,A
58839,656382,TEN,,Illegal Use of Hands,2,10,A
58840,656385,TEN,TL-0775,Illegal Use of Hands,2,0,D
58841,656400,CLE,JB-3550,Clipping,7,15,A
58842,656401,TEN,ZB-0400,Illegal Use of Hands,5,5,A
58843,656408,TEN,HD-0300,Unnecessary Roughness,6,15,A
58844,656411,TEN,CC-3200,Unnecessary Roughness,6,15,A
58845,656412,CLE,MM-4500,Offensive Holding,2,10,A
58846,656430,TEN,MM-0912,Delay of Game,3,5,A
58847,656445,TEN,MM-0912,Delay of Game,3,5,A
58848,656448,TEN,BW-2900,Player Out of Bounds on Punt,3,15,A
58849,656452,TEN,PS-0950,Illegal Block Above the Waist,7,10,A
58850,656460,CLE,KW-1550,Face Mask,6,0,D
58851,656463,CLE,JB-3550,Offensive Holding,2,10,A
58852,656506,TEN,CC-3200,False Start,1,5,A
58853,656507,CLE,DB-5200,Illegal Use of Hands,5,5,A
58854,656554,NYG,EF-0075,False Start,1,5,A
58855,656555,ATL,PA-0100,Neutral Zone,4,5,A
58856,656559,NYG,NW-0350,False Start,1,5,A
58857,656574,ATL,RS-0650,False Start,1,5,A
58858,656586,NYG,DH-1800,Illegal Motion,3,5,A
58859,656595,NYG,TM-1200,Defensive Holding,5,5,A
58860,656622,ATL,KI-0150,Offensive Holding,2,10,A
58861,656628,NYG,EF-0075,Offensive Holding,2,10,A
58862,656640,ATL,KB-1100,Illegal Use of Hands,5,0,D
58863,656663,ATL,JT-0300,Offensive Holding,2,10,A
58864,656689,NYG,EM-0200,Delay of Game,3,5,A
58865,656696,NYG,JC-1800,Defensive Holding,5,0,D
58866,656702,ATL,RA-0650,Defensive Pass Interference,5,30,A
58867,656705,NYG,GS-0400,Illegal Touch Pass,3,0,D
58868,656737,WAS,JR-1150,Offensive Holding,2,10,A
58869,656745,WAS,RK-0500,Defensive Offside,4,5,A
58870,656752,STL,TM-0650,Offensive Holding,2,10,A
58871,656762,STL,AD-1475,Neutral Zone,4,5,A
58872,656763,WAS,JR-1150,Offensive Holding,2,10,A
58873,656788,WAS,SL-0300,False Start,1,5,A
58874,656793,STL,LK-0200,False Start,1,5,A
58875,656805,STL,KB-1900,Taunting,6,15,A
58876,656812,WAS,BB-2725,Illegal Use of Hands,5,5,A
58877,656813,STL,JC-4300,Illegal Use of Hands,2,15,A
58878,656815,STL,RS-0100,False Start,1,5,A
58879,656818,STL,BC-3070,Illegal Substitution,3,0,O
58880,656818,WAS,DA-0950,Illegal Block Above the Waist,7,0,O
58881,656819,STL,IP-0050,Player Out of Bounds on Punt,3,5,A
58882,656820,WAS,TP-1550,Offensive Holding,2,8,A
58883,656827,WAS,SL-0300,Offensive Holding,2,10,A
58884,656838,STL,EW-0550,Neutral Zone,4,5,A
58885,656843,STL,AO-0250,Face Mask,6,15,A
58886,656843,STL,RQ-0200,Face Mask,6,0,D
58887,656867,MIA,OV-0200,Defensive Offside,4,5,A
58888,656885,MIA,TF-0250,Illegal Use of Hands,5,0,D
58889,656898,JAC,SW-1900,Offensive Holding,2,0,D
58890,656910,JAC,JL-2850,Offensive Holding,2,8,A
58891,656916,MIA,JT-0850,Illegal Contact,5,5,A
58892,656917,JAC,SW-1900,Offensive Holding,2,10,A
58893,656926,JAC,DS-2200,Face Mask,6,15,A
58894,656939,MIA,JJ-0650,False Start,1,5,A
58895,656941,JAC,CS-2350,Defensive Offside,4,5,A
58896,656946,MIA,BM-0800,Defensive Pass Interference,5,17,A
58897,656951,MIA,JJ-0650,Offensive Holding,2,10,A
58898,656959,JAC,AR-1250,Offensive Pass Interference,2,10,A
58899,656970,JAC,TA-0600,Roughing the Passer,6,15,A
58900,656977,JAC,JP-0900,Illegal Use of Hands,2,10,A
58901,656985,MIA,JJ-0650,Offensive Holding,2,10,A
58902,656989,MIA,MD-0125,Delay of Game,3,5,A
58903,656997,MIA,RT-0150,Delay of Game,3,5,A
58904,657004,MIA,ZB-0200,Offensive Holding,2,10,A
58905,657006,MIA,DT-0550,Offensive Holding,2,10,A
58906,657009,MIA,DW-3125,Offensive Holding,2,10,A
58907,657012,MIA,WA-0050,Illegal Use of Hands,5,5,A
58908,657020,JAC,LR-0350,Offensive Holding,2,0,D
58909,657020,JAC,DS-2200,Offensive Holding,2,10,A
58910,657024,JAC,ML-0650,Offensive Pass Interference,2,10,A
58911,657026,MIA,OV-0200,Unnecessary Roughness,6,15,A
58912,657047,BAL,KL-0800,Defensive Pass Interference,5,22,A
58913,657062,OAK,,12 On-field,3,4,A
58914,657065,OAK,JW-1400,False Start,1,5,A
58915,657068,OAK,MC-2900,Taunting,6,15,A
58916,657073,OAK,AH-3700,Offensive Holding,2,0,D
58917,657076,OAK,DA-2050,Defensive Offside,4,5,A
58918,657087,BAL,KA-1000,Defensive Holding,5,0,D
58919,657096,OAK,,12 On-field,3,5,A
58920,657103,BAL,JS-4300,Unnecessary Roughness,6,15,A
58921,657109,OAK,DP-1100,False Start,1,5,A
58922,657115,BAL,CG-1030,False Start,1,5,A
58923,657116,BAL,RW-0150,False Start,1,5,A
58924,657120,OAK,CL-1300,Illegal Contact,5,5,A
58925,657123,BAL,KO-0750,Offensive Holding,2,10,A
58926,657126,OAK,MS-2400,Defensive Holding,5,5,A
58927,657128,OAK,DA-2050,Encroachment,4,5,A
58928,657130,OAK,TC-0385,Defensive Holding,5,4,A
58929,657136,OAK,BH-1110,Illegal Block Above the Waist,7,10,A
58930,657138,BAL,CU-0050,Defensive Pass Interference,5,17,A
58931,657138,BAL,ED-1000,Defensive Offside,4,0,D
58932,657144,OAK,CW-0225,False Start,1,5,A
58933,657156,BAL,JS-4300,Defensive Holding,5,5,A
58934,657165,BAL,LW-0700,Defensive Holding,5,0,D
58935,657172,OAK,KM-1150,Illegal Contact,5,5,A
58936,657174,BAL,KO-0750,Offensive Holding,2,10,A
58937,657188,OAK,LA-0700,Defensive Pass Interference,5,8,A
58938,657210,OAK,DW-3200,Unnecessary Roughness,6,15,A
58939,657216,BAL,TJ-1025,Roughing the Passer,6,15,A
58940,657217,OAK,AH-3700,False Start,1,5,A
58941,657221,BAL,WH-0750,Defensive Holding,5,5,A
58942,657229,DAL,MB-2200,False Start,1,5,A
58943,657242,DAL,MC-1350,Defensive Pass Interference,5,11,A
58944,657263,DAL,BC-0500,Offensive Holding,2,10,A
58945,657270,DAL,TF-1350,Delay of Game,3,5,A
58946,657277,DAL,MB-2200,False Start,1,5,A
58947,657280,DAL,TS-2700,Illegal Formation,3,5,A
58948,657285,PHI,ZE-0100,Offensive Pass Interference,2,10,A
58949,657287,DAL,DW-4025,Illegal Block Above the Waist,7,0,D
58950,657287,DAL,JW-3050,Offensive Holding,2,10,A
58951,657291,DAL,ZM-0050,Ineligible Downfield Pass,3,5,A
58952,657294,PHI,VC-0400,Neutral Zone,4,5,A
58953,657295,PHI,VC-0400,Unnecessary Roughness,6,15,A
58954,657298,PHI,DR-3700,Defensive Holding,5,5,A
58955,657300,DAL,JW-6000,False Start,1,5,A
58956,657301,PHI,DR-3700,Illegal Use of Hands,5,5,A
58957,657306,DAL,DF-1800,False Start,1,5,A
58958,657307,PHI,BM-0600,Illegal Contact,5,5,A
58959,657323,DAL,ZM-0050,Offensive Holding,2,10,A
58960,657331,DAL,DL-0450,Defensive Holding,5,5,A
58961,657333,DAL,TP-0650,Defensive Pass Interference,5,16,A
58962,657341,DAL,TS-2700,False Start,1,5,A
58963,657350,DAL,DB-0200,Unsportsmanlike Conduct,6,15,A
58964,657364,DAL,GS-1400,Offensive Holding,2,10,A
58965,657367,PHI,,Illegal Motion,3,0,D
58966,657368,DAL,MB-2200,Offensive Holding,2,10,A
58967,657371,DAL,ZM-0050,Offensive Holding,2,0,D
58968,657376,DAL,DF-1800,False Start,1,5,A
58969,657382,DAL,MC-1350,Illegal Use of Hands,5,0,O
58970,657382,PHI,JP-2400,Illegal Use of Hands,2,0,O
58971,657392,PHI,AB-0500,Offensive Holding,2,10,A
58972,657393,PHI,SB-1100,Delay of Game,3,5,A
58973,657403,SEA,,12 On-field,3,5,A
58974,657404,SEA,MB-1900,Defensive Offside,4,0,D
58975,657407,GB,JS-3500,Illegal Use of Hands,2,10,A
58976,657411,GB,AR-1300,Delay of Game,3,5,A
58977,657413,SEA,MB-1900,Defensive Offside,4,0,D
58978,657415,SEA,KP-0650,Offensive Holding,2,10,A
58979,657420,GB,CL-0975,Offensive Holding,2,0,D
58980,657440,GB,JJ-0775,Illegal Use of Hands,2,5,A
58981,657444,SEA,RO-0400,False Start,1,5,A
58982,657456,SEA,JS-7450,Unnecessary Roughness,6,15,A
58983,657473,SEA,RS-1000,Defensive Pass Interference,5,52,A
58984,657473,SEA,MB-1900,Defensive Offside,4,0,D
58985,657474,SEA,RS-1000,Defensive Holding,5,0,D
58986,657490,GB,MN-0300,Defensive Offside,4,5,A
58987,657517,GB,MP-0875,Defensive Offside,4,5,A
58988,657517,GB,MD-0060,Unsportsmanlike Conduct,6,0,D
58989,657523,GB,DB-0350,False Start,1,5,A
58990,657531,SEA,CW-2300,Illegal Contact,5,5,A
58991,657534,SEA,BW-0150,Defensive Pass Interference,5,0,D
58992,657541,SEA,MB-1900,Unnecessary Roughness,6,0,O
58993,657541,GB,TL-0300,Unnecessary Roughness,6,0,O
58994,657541,SEA,KW-2500,Disqualification,6,0,O
58995,657560,IND,DL-2300,Unnecessary Roughness,6,15,A
58996,657560,IND,EW-0100,Illegal Use of Hands,5,0,D
58997,657561,NYJ,ED-0200,Offensive Pass Interference,2,10,A
58998,657567,IND,DA-0850,Offensive Holding,2,7,A
58999,657569,NYJ,BS-2300,Unnecessary Roughness,6,15,A
59000,657569,NYJ,LW-1350,Defensive Offside,4,0,D
59001,657570,IND,AC-1200,Offensive Holding,2,10,A
59002,657575,IND,VD-0200,Defensive Holding,5,4,A
59003,657599,NYJ,KD-0400,False Start,1,5,A
59004,657605,IND,AL-1100,Intentional Grounding,3,5,A
59005,657612,IND,VD-0200,Defensive Holding,5,5,A
59006,657623,IND,TC-2000,Neutral Zone,4,5,A
59007,657643,NYJ,AC-2400,Defensive Holding,5,0,D
59008,657650,IND,TH-1500,Offensive Holding,2,10,A
59009,657659,NYJ,DD-0250,Unsportsmanlike Conduct,6,10,A
59010,657668,NYJ,BG-0500,Unnecessary Roughness,6,15,A
59011,657676,IND,JD-2550,Offensive Holding,2,10,A
59012,657683,NYJ,QC-0350,Unnecessary Roughness,6,15,A
59013,657688,IND,SP-1750,Defensive Holding,5,5,A
59014,657692,IND,JB-6500,Defensive Holding,5,0,D
59015,657694,IND,SM-2950,Illegal Block Above the Waist,7,8,A
59016,657697,NYJ,QC-0350,Roughing the Passer,6,15,A
59017,657706,NYJ,BM-0300,False Start,1,5,A
59018,657716,WAS,JR-1150,Offensive Pass Interference,2,10,A
59019,657718,NYG,RJ-0800,Running Into the Kicker,6,0,O
59020,657718,WAS,BB-2725,Player Out of Bounds on Punt,3,0,O
59021,657720,NYG,MH-2400,Offensive Holding,2,10,A
59022,657727,WAS,TP-1550,Defensive Holding,5,6,A
59023,657742,NYG,WR-0450,Offensive Holding,2,10,A
59024,657760,WAS,JJ-3200,Unnecessary Roughness,6,15,A
59025,657777,WAS,KL-1000,Offensive Holding,2,10,A
59026,657790,NYG,DH-1800,Offensive Pass Interference,2,10,A
59027,657823,NYG,JP-4350,False Start,1,5,A
59028,657824,WAS,CC-5300,Illegal Contact,5,5,A
59029,657825,NYG,MN-0400,Offensive Holding,2,10,A
59030,657837,NYG,JH-5450,Illegal Use of Hands,5,0,D
59031,657841,NYG,LC-0850,Illegal Contact,5,5,A
59032,657844,WAS,KC-2350,Delay of Game,3,5,A
59033,657852,WAS,JC-5680,Offensive Pass Interference,2,7,A
59034,657855,NYG,PA-0300,Defensive Pass Interference,5,12,A
59035,657881,NYG,JC-1800,Defensive Pass Interference,5,5,A
59036,657889,ATL,RA-0650,Face Mask,6,15,A
59037,657917,DAL,MC-1350,Defensive Holding,5,3,A
59038,657928,ATL,RS-0650,Ineligible Downfield Pass,3,5,A
59039,657933,DAL,TS-2700,Offensive Holding,2,10,A
59040,657952,DAL,BC-1200,Defensive Holding,5,3,A
59041,657958,ATL,RA-0675,Unnecessary Roughness,6,15,A
59042,657972,ATL,JS-6950,Offensive Holding,2,10,A
59043,657977,ATL,JM-1450,Offensive Holding,2,10,A
59044,657981,DAL,JW-6000,False Start,1,5,A
59045,657983,DAL,DF-1800,Offensive Holding,2,10,A
59046,657997,ATL,AC-1500,Roughing the Passer,6,15,A
59047,658061,IND,HT-0600,Offensive Holding,2,10,A
59048,658093,TEN,JP-3875,Offensive Holding,2,10,A
59049,658099,IND,JM-4150,False Start,1,5,A
59050,658103,TEN,DB-0950,Illegal Block Above the Waist,7,10,A
59051,658106,IND,DJ-0500,Illegal Contact,5,5,A
59052,658122,IND,HT-0600,False Start,1,5,A
59053,658129,TEN,BS-1150,Illegal Use of Hands,2,10,A
59054,658131,TEN,TL-0775,Offensive Holding,2,10,A
59055,658144,IND,HT-0600,Offensive Holding,2,10,A
59056,658148,IND,HT-0600,Offensive Holding,2,10,A
59057,658165,TEN,KW-2550,False Start,1,5,A
59058,658174,IND,CF-0650,Offensive Holding,2,4,A
59059,658184,IND,JM-4150,False Start,1,5,A
59060,658199,TEN,DM-3600,Tripping,7,10,A
59061,658208,IND,EW-0100,Roughing the Passer,6,15,A
59062,658213,IND,VD-0200,Defensive Pass Interference,5,1,A
59063,658215,IND,JB-6500,Defensive Pass Interference,5,1,A
59064,658229,OAK,MR-0970,Offensive Holding,2,10,A
59065,658238,OAK,MS-2400,Defensive Holding,5,5,A
59066,658240,CLE,MS-0550,Offensive Holding,2,10,A
59067,658244,OAK,MR-0970,False Start,1,5,A
59068,658247,CLE,PD-0450,Defensive Holding,5,5,A
59069,658262,CLE,BM-2850,Illegal Block Above the Waist,7,10,A
59070,658265,CLE,RH-3000,Offensive Pass Interference,2,0,D
59071,658267,OAK,AC-2350,Offensive Pass Interference,2,10,A
59072,658268,OAK,LS-1550,False Start,1,5,A
59073,658272,CLE,TC-0350,Roughing the Kicker,6,15,A
59074,658275,OAK,DP-1100,False Start,1,5,A
59075,658296,CLE,JB-3550,False Start,1,5,A
59076,658319,OAK,MC-2900,Offensive Pass Interference,2,10,A
59077,658325,CLE,JD-2600,False Start,1,5,A
59078,658326,OAK,AS-1500,Defensive Offside,4,5,A
59079,658345,CLE,XC-0100,Defensive Offside,4,0,D
59080,658353,OAK,DA-0950,Defensive Holding,5,5,A
59081,658363,OAK,AH-3700,Offensive Holding,2,10,A
59082,658367,OAK,AS-1500,Neutral Zone,4,5,A
59083,658376,OAK,JW-1400,Offensive Holding,2,10,A
59084,658383,OAK,MK-0760,Delay of Game,3,0,D
59085,658407,BAL,RM-3850,Defensive Holding,5,5,A
59086,658411,BAL,RM-3850,Illegal Use of Hands,5,5,A
59087,658412,CIN,AG-1500,Illegal Formation,3,5,A
59088,658414,CIN,AD-0100,Delay of Game,3,5,A
59089,658415,BAL,WH-0750,Defensive Pass Interference,5,8,A
59090,658424,BAL,,Illegal Shift,3,5,A
59091,658430,BAL,JH-6500,False Start,1,5,A
59092,658432,BAL,KO-0750,Unnecessary Roughness,6,0,O
59093,658432,CIN,CD-2200,Unnecessary Roughness,6,0,O
59094,658436,CIN,RB-2275,Ineligible Downfield Pass,3,6,A
59095,658444,CIN,DK-0750,Illegal Contact,5,6,A
59096,658445,BAL,JZ-0300,Offensive Holding,2,0,D
59097,658447,BAL,RM-3850,Defensive Pass Interference,5,14,A
59098,658462,BAL,KJ-1400,Offensive Holding,2,10,A
59099,658464,CIN,AG-1500,Offensive Pass Interference,2,10,A
59100,658472,CIN,AD-0100,Delay of Game,3,5,A
59101,658478,CIN,CD-2200,Defensive Holding,5,0,O
59102,658478,BAL,SS-2100,Offensive Holding,2,0,O
59103,658493,BAL,CM-3250,Defensive Offside,4,5,A
59104,658498,BAL,KO-0750,Offensive Holding,2,10,A
59105,658509,BAL,JZ-0300,Unnecessary Roughness,6,15,A
59106,658516,BAL,JZ-0300,Offensive Holding,2,10,A
59107,658518,CIN,CC-0900,Roughing the Passer,6,15,A
59108,658528,CIN,RB-2275,Offensive Holding,2,10,A
59109,658531,CIN,TE-0300,False Start,1,5,A
59110,658549,BAL,JF-1900,Intentional Grounding,3,10,A
59111,658570,BAL,KO-0750,Face Mask,6,14,A
59112,658593,JAC,BL-1150,Offensive Holding,2,10,A
59113,658605,NE,RG-2200,Offensive Pass Interference,2,10,A
59114,658612,NE,LR-0600,Illegal Contact,5,5,A
59115,658626,JAC,,Illegal Formation,3,5,A
59116,658627,JAC,BL-1150,Offensive Holding,2,0,D
59117,658654,JAC,DS-2200,Roughing the Passer,6,3,A
59118,658675,JAC,BA-0850,Delay of Game,3,5,A
59119,658677,NE,RG-2200,Offensive Pass Interference,2,10,A
59120,658678,JAC,PT-0450,Defensive Pass Interference,5,52,A
59121,658679,JAC,JS-0230,Defensive Pass Interference,5,24,A
59122,658695,JAC,PT-0450,Horse Collar,7,15,A
59123,658729,NE,DA-1425,False Start,1,5,A
59124,658752,CAR,WH-0850,Tripping,7,10,A
59125,658781,CAR,AK-0650,Defensive Holding,5,5,A
59126,658790,CAR,GO-0100,Offensive Holding,2,10,A
59127,658797,CAR,RB-3100,Offensive Pass Interference,2,10,A
59128,658803,NO,ZS-0200,False Start,1,5,A
59129,658804,NO,TL-0750,Offensive Holding,2,10,A
59130,658807,NO,,False Start,1,5,A
59131,658826,CAR,TW-2250,Unsportsmanlike Conduct,6,15,A
59132,658830,CAR,TT-1850,Tripping,7,8,A
59133,658830,CAR,TT-1850,Offensive Holding,2,0,D
59134,658832,NO,BB-3400,Illegal Contact,5,5,A
59135,658835,NO,,12 On-field,3,5,A
59136,658842,NO,ZS-0200,False Start,1,5,A
59137,658847,CAR,KE-0050,Illegal Use of Hands,5,5,A
59138,658862,CAR,KS-0850,Roughing the Passer,6,15,A
59139,658870,NO,SA-1150,Unnecessary Roughness,6,15,A
59140,658897,NO,BW-0700,Illegal Shift,3,5,A
59141,658898,CAR,MA-0300,Defensive Offside,4,5,A
59142,658908,CAR,BN-0700,Delay of Game,3,5,A
59143,658914,NYJ,QE-0100,False Start,1,5,A
59144,658919,NYJ,AC-2400,Defensive Holding,5,5,A
59145,658937,PHI,SB-1100,Delay of Game,3,2,A
59146,658941,PHI,AB-0500,Offensive Holding,2,0,D
59147,658986,NYJ,DD-0250,Unnecessary Roughness,6,15,A
59148,659007,NYJ,BS-2300,Defensive Pass Interference,5,18,A
59149,659010,PHI,LJ-0850,Illegal Formation,3,0,D
59150,659025,PHI,CB-0800,Neutral Zone,4,4,A
59151,659030,NYJ,BG-0500,Illegal Formation,3,0,D
59152,659049,PHI,BM-0600,Defensive Holding,5,5,A
59153,659053,NYJ,DF-0600,False Start,1,5,A
59154,659066,PHI,JK-0500,Offensive Holding,2,0,D
59155,659076,PHI,BM-0600,Defensive Holding,5,0,D
59156,659092,PHI,,Illegal Substitution,3,5,A
59157,659093,PHI,ZE-0100,False Start,1,5,A
59158,659094,NYJ,QC-0350,Illegal Use of Hands,5,5,A
59159,659105,TB,LM-0200,False Start,1,5,A
59160,659108,TB,ME-0600,Offensive Pass Interference,2,10,A
59161,659110,TB,JW-5650,Delay of Game,3,5,A
59162,659137,TB,JS-4037,Defensive Holding,5,5,A
59163,659151,TB,TJ-1000,Defensive Holding,5,0,D
59164,659157,HOU,BB-3230,Offensive Holding,2,10,A
59165,659163,HOU,AD-1100,Unnecessary Roughness,6,15,A
59166,659166,TB,JH-2900,Offensive Holding,2,10,A
59167,659174,TB,MJ-0900,Defensive Holding,5,0,D
59168,659194,TB,CC-4000,Face Mask,6,15,A
59169,659202,HOU,JS-3250,Roughing the Passer,6,15,A
59170,659207,HOU,CC-1900,False Start,1,3,A
59171,659219,HOU,DN-0700,False Start,1,5,A
59172,659233,TB,WG-0550,Defensive Offside,4,0,D
59173,659247,TB,CC-4000,Face Mask,6,15,A
59174,659250,TB,SM-3000,Defensive Holding,5,0,D
59175,659257,HOU,KJ-0650,Offensive Holding,2,10,A
59176,659259,TB,,Neutral Zone,4,5,A
59177,659265,TB,AV-0300,Defensive Pass Interference,5,9,A
59178,659266,TB,,Defensive Offside,4,5,A
59179,659288,SD,ND-0600,Offensive Holding,2,5,A
59180,659294,SD,JV-0425,Defensive Holding,5,0,D
59181,659295,SD,CL-1000,Neutral Zone,4,5,A
59182,659307,SD,SW-1720,Defensive Pass Interference,5,34,A
59183,659350,SD,DI-0075,Offensive Holding,2,10,A
59184,659377,MIN,MA-1150,Illegal Block Above the Waist,7,10,A
59185,659389,MIN,BF-1500,Ineligible Downfield Pass,3,0,D
59186,659391,SD,MI-0150,Defensive Holding,5,5,A
59187,659401,SD,JB-1400,False Start,1,5,A
59188,659404,MIN,EG-0900,Roughing the Passer,6,14,A
59189,659407,MIN,,Unsportsmanlike Conduct,6,15,A
59190,659414,SD,DF-1250,Offensive Holding,2,10,A
59191,659417,SD,DF-1250,Ineligible Downfield Pass,3,0,D
59192,659473,STL,LJ-1800,Defensive Pass Interference,5,7,A
59193,659485,PIT,KB-0750,Illegal Use of Hands,2,10,A
59194,659498,PIT,KB-0750,Offensive Holding,2,9,A
59195,659516,STL,MB-0650,Defensive Holding,5,5,A
59196,659528,STL,GR-0450,Offensive Holding,2,10,A
59197,659536,STL,LJ-1800,Offensive Holding,2,10,A
59198,659547,PIT,AB-1950,Defensive Pass Interference,5,34,A
59199,659550,STL,JC-4300,False Start,1,5,A
59200,659552,STL,GR-0450,False Start,1,5,A
59201,659555,STL,DB-0975,Offside on Free Kick,3,5,A
59202,659558,PIT,CW-0400,Offensive Holding,2,10,A
59203,659583,SF,MM-0925,Offensive Holding,2,0,D
59204,659597,SF,JS-5700,False Start,1,5,A
59205,659600,ARI,JV-0300,Offensive Holding,2,9,A
59206,659603,ARI,JV-0300,False Start,1,5,A
59207,659610,SF,KA-0150,Illegal Use of Hands,5,4,A
59208,659612,SF,AB-1500,Face Mask,6,1,A
59209,659613,ARI,JV-0300,False Start,1,5,A
59210,659622,SF,NB-0400,Illegal Contact,5,5,A
59211,659624,SF,TJ-1050,Defensive Offside,4,0,D
59212,659633,ARI,BG-0750,Offside on Free Kick,3,5,A
59213,659638,SF,QP-0050,Unsportsmanlike Conduct,6,15,A
59214,659646,SF,JD-1750,Offensive Holding,2,0,D
59215,659691,SF,NB-0400,Unsportsmanlike Conduct,6,15,A
59216,659694,ARI,MF-0950,Offensive Pass Interference,2,0,D
59217,659744,BUF,KW-1600,Defensive Offside,4,5,A
59218,659747,MIA,DT-0550,Offensive Holding,2,10,A
59219,659752,MIA,EM-1200,Defensive Offside,4,6,A
59220,659756,MIA,CW-0100,Defensive Offside,4,0,D
59221,659768,BUF,RW-4050,Unnecessary Roughness,6,14,A
59222,659771,BUF,GS-0200,Offensive Holding,2,10,A
59223,659771,BUF,,Illegal Formation,3,0,D
59224,659783,BUF,NB-0500,Defensive Offside,4,5,A
59225,659794,BUF,CG-1250,Offensive Holding,2,0,D
59226,659846,MIA,WA-0050,Running Into the Kicker,6,5,A
59227,659849,MIA,DS-1760,Illegal Use of Hands,5,5,A
