pid,qtr,min,sec,dwn,yds,pts,player,type
670311,1,4,12,1,10,7,DT-0850,RUSH
670333,2,12,7,3,12,7,AS-1600,RUSH
670355,2,3,31,1,8,7,CW-1450,RUSH
670381,3,8,58,1,2,7,TK-0150,REC
670416,4,10,16,2,17,7,JM-0200,REC
670425,4,7,29,1,21,7,LM-1500,REC
670429,4,6,44,1,4,7,SW-0350,RUSH
670518,2,0,35,1,20,7,CB-2775,REC
670543,3,6,11,3,4,7,JW-5650,RUSH
670556,3,0,19,2,7,7,JT-0300,REC
670597,4,0,23,1,8,7,JJ-4700,REC
670637,1,8,7,2,11,7,TN-0550,REC
670653,1,2,45,3,10,7,BH-0800,REC
670665,2,14,53,3,3,7,GB-0200,REC
670687,2,5,1,3,2,6,BH-0800,REC
670721,3,11,56,1,60,7,MF-0950,REC
670733,3,7,39,3,1,7,TN-0550,REC
670771,4,9,35,1,6,7,LF-0200,REC
670862,2,10,35,1,71,8,TG-1950,RUSH
670897,2,0,23,1,2,7,TA-1050,RUSH
670953,4,8,49,3,66,7,TA-1050,REC
670990,1,9,43,4,2,7,OB-0075,REC
670998,1,7,45,2,34,7,WS-0925,REC
671010,1,2,30,1,26,7,BC-2325,REC
671022,2,13,34,2,1,7,OB-0075,REC
671029,2,11,15,2,53,7,MC-2400,REC
671051,2,1,50,3,2,7,WS-0925,REC
671065,2,0,7,2,2,7,SV-0200,REC
671072,3,13,8,2,50,7,OB-0075,REC
671084,3,10,14,2,21,7,BC-2325,REC
671110,3,0,33,2,20,7,BW-0700,REC
671126,4,12,24,4,9,7,DH-1800,REC
671136,4,9,37,2,20,7,DH-1800,REC
671144,4,7,23,2,63,7,TM-1200,FUM
671162,4,0,41,2,9,7,CS-3400,REC
671194,1,3,53,4,65,7,MS-1300,PR
671240,2,0,49,1,21,7,AJ-0430,REC
671299,4,5,0,2,4,7,JC-6200,RUSH
671309,4,2,0,3,40,7,SD-0537,REC
671366,2,10,21,2,9,7,MF-0800,REC
671380,2,4,58,3,3,7,CG-1030,REC
671397,2,0,15,2,13,6,KA-0650,REC
671431,3,3,5,3,70,7,MF-0800,REC
671466,4,4,37,1,1,7,JF-1900,RUSH
671503,1,7,49,3,1,7,AB-3500,REC
671642,4,3,1,3,9,7,AG-1500,REC
671702,2,14,11,1,21,7,DH-3950,REC
671766,3,3,47,1,42,7,NW-0100,REC
671843,1,2,0,2,5,7,AH-3600,REC
671860,2,9,46,2,36,7,MC-2900,REC
671871,2,5,19,3,49,7,AH-3600,REC
671899,3,11,20,1,59,7,TJ-2400,REC
671910,3,7,23,1,4,7,ED-0200,REC
671948,4,8,45,3,1,7,KD-0400,REC
672039,2,5,33,1,22,7,LW-1450,REC
672159,1,4,43,3,1,7,RH-2350,RUSH
672174,2,14,10,1,15,7,RH-2350,RUSH
672202,2,3,2,2,2,7,EL-0010,RUSH
672238,3,5,32,3,28,7,CA-0750,RUSH
672305,1,7,27,4,3,7,JS-6700,RUSH
672396,3,0,22,2,27,7,GO-0100,REC
672411,4,10,51,2,8,6,CB-3850,REC
672421,4,7,11,2,18,7,AJ-0900,REC
672436,4,2,37,2,8,7,CF-0650,REC
