pid,qtr,min,sec,dwn,yds,pts,player,type
656212,4,4,20,1,24,6,SW-0450,REC
656233,1,12,58,2,16,7,AG-1500,REC
656282,2,6,8,1,45,7,MJ-2250,REC
656307,3,10,40,2,10,7,SJ-0600,REC
656352,4,8,54,3,9,7,TE-0300,REC
656368,4,4,27,1,40,6,MF-0800,REC
656388,1,12,59,2,60,7,TB-1060,REC
656403,1,6,33,1,11,7,IC-0300,RUSH
656456,2,1,12,4,78,7,TB-1060,PR
656488,3,1,42,1,19,7,AF-0200,REC
656511,4,6,48,4,13,7,DG-2650,REC
656520,4,3,1,3,50,7,TB-1060,REC
656573,1,0,42,1,1,7,TC-2050,RUSH
656605,2,3,34,1,67,7,OB-0075,REC
656640,3,11,0,3,10,7,LD-0650,REC
656666,4,12,46,3,10,7,LH-0600,REC
656698,4,1,20,2,2,7,DF-1875,RUSH
656726,1,7,14,2,39,7,MJ-2275,RUSH
656770,2,3,7,3,4,7,PG-0100,REC
656805,3,7,9,2,40,7,KB-1900,REC
656848,4,2,43,2,3,7,MJ-2275,RUSH
656873,1,9,28,2,3,7,AR-1250,REC
656920,2,5,10,3,46,7,AR-1250,REC
656929,2,1,55,3,10,7,DW-3125,REC
656956,3,10,33,2,5,7,JS-7050,REC
657043,1,12,59,3,68,7,AC-2350,REC
657081,1,0,2,2,26,7,CG-1030,REC
657088,2,12,57,1,1,7,LM-1850,RUSH
657100,2,7,51,3,9,7,CG-1030,REC
657165,3,2,21,1,29,7,MC-2900,REC
657196,4,7,8,2,7,7,LT-0050,RUSH
657222,4,0,30,1,12,7,SR-0750,REC
657315,3,12,44,4,26,7,KW-0960,BLPU
657379,4,4,20,3,42,7,TW-2270,REC
657395,4,1,26,4,6,7,JM-1550,REC
657413,1,10,51,2,29,7,JJ-4200,REC
657491,3,10,1,3,5,7,FJ-0100,REC
657502,3,6,53,1,13,7,DB-0500,REC
657533,4,9,28,2,5,8,RR-1050,REC
657577,1,6,49,2,6,7,ED-0200,REC
657682,4,10,16,1,26,7,DM-2775,REC
657692,4,6,27,2,15,7,BM-0300,REC
