pid,psr,trg,yds,comp
657040,DC-0725,MR-0970,4,1
657041,DC-0725,AC-2350,0,0
657043,DC-0725,AC-2350,68,1
657046,JF-1900,KA-0400,6,1
657049,DC-0725,MR-0970,0,0
657050,DC-0725,MC-2900,0,0
657054,JF-1900,MB-4050,7,1
657055,JF-1900,SS-2100,0,0
657056,JF-1900,CG-1030,6,1
657057,JF-1900,KA-0400,8,1
657058,JF-1900,SS-2100,37,1
657060,JF-1900,SS-2100,0,0
657061,JF-1900,KA-0400,0,0
657067,DC-0725,MC-2900,12,1
657068,DC-0725,MC-2900,2,1
657069,DC-0725,AH-3600,21,1
657070,DC-0725,AC-2350,8,1
657071,DC-0725,MC-2900,0,0
657075,JF-1900,SS-2100,22,1
657077,JF-1900,MW-2450,8,1
657078,JF-1900,KA-0400,0,0
657081,JF-1900,CG-1030,26,1
657084,DC-0725,MR-0500,16,1
657086,DC-0725,MC-2900,37,1
657087,DC-0725,AH-3600,21,1
657091,JF-1900,JF-2800,3,1
657095,JF-1900,CG-1030,38,1
657097,JF-1900,KJ-1400,11,1
657099,JF-1900,JA-1025,2,1
657100,JF-1900,CG-1030,9,1
657103,DC-0725,AC-2350,8,1
657104,DC-0725,AC-2350,6,1
657106,DC-0725,TJ-2400,6,1
657108,DC-0725,MC-2900,4,1
657110,DC-0725,AH-3600,0,0
657111,DC-0725,AC-2350,5,1
657112,DC-0725,CW-0225,4,1
657117,JF-1900,JF-2800,1,1
657121,JF-1900,SS-2100,20,1
657122,JF-1900,SS-2100,23,1
657124,JF-1900,DW-0675,0,0
657127,JF-1900,DW-0675,0,0
657129,JF-1900,LT-0050,4,1
657133,JF-1900,SS-2100,-1,1
657135,JF-1900,JF-2800,7,1
657137,DC-0725,MC-2900,0,0
657139,DC-0725,AC-2350,5,1
657140,DC-0725,LM-1850,3,1
657141,DC-0725,MC-2900,2,1
657145,DC-0725,MR-0500,0,0
657147,DC-0725,MC-2900,0,0
657150,JF-1900,SS-2100,0,0
657151,JF-1900,SS-2100,11,1
657152,JF-1900,SS-2100,6,1
657154,JF-1900,MB-4050,0,0
657157,DC-0725,MC-2900,0,0
657159,DC-0725,AH-3600,8,1
657162,DC-0725,MC-2900,5,1
657163,DC-0725,AC-2350,0,0
657165,DC-0725,MC-2900,29,1
657168,JF-1900,SS-2100,14,1
657169,JF-1900,SS-2100,12,1
657170,JF-1900,JF-2800,1,1
657171,JF-1900,SS-2100,6,1
657173,JF-1900,LT-0050,2,1
657175,JF-1900,KA-0400,26,1
657177,JF-1900,SS-2100,0,0
657178,JF-1900,MB-4050,0,0
657182,DC-0725,MR-0970,0,0
657183,DC-0725,AC-2350,0,0
657186,JF-1900,KA-0400,38,1
657189,JF-1900,CG-1030,9,1
657191,JF-1900,MB-4050,5,1
657195,JF-1900,LT-0050,6,1
657199,DC-0725,MC-2900,6,1
657202,DC-0725,MC-2900,0,0
657203,JF-1900,KA-0400,11,1
657208,JF-1900,CG-1030,0,0
657209,JF-1900,SS-2100,0,0
657212,DC-0725,LM-1850,12,1
657213,DC-0725,MC-2900,0,0
657214,DC-0725,MR-0970,7,1
657215,DC-0725,LM-1850,7,1
657216,DC-0725,MR-0970,4,1
657218,DC-0725,AC-2350,9,1
657219,DC-0725,MC-2900,14,1
657220,DC-0725,CW-0225,0,0
657222,DC-0725,SR-0750,12,1
657225,JF-1900,SS-2100,0,0
657234,SB-1100,NA-0050,8,1
657235,SB-1100,JM-1550,0,0
657239,TR-0800,CB-1130,1,1
657244,SB-1100,DM-4300,7,1
657245,SB-1100,JM-1550,0,0
657247,TR-0800,TW-2270,15,1
657249,TR-0800,JR-0250,14,1
657252,TR-0800,TW-2270,19,1
657254,TR-0800,GE-0250,13,1
657256,TR-0800,GE-0250,0,0
657257,TR-0800,JW-6000,0,0
657262,SB-1100,MA-1400,0,0
657265,TR-0800,DS-4750,18,1
657267,TR-0800,DM-1600,14,1
657268,TR-0800,GS-1400,0,1
657271,TR-0800,DM-1600,7,1
657273,SB-1100,DS-3300,2,1
657275,SB-1100,ZE-0100,0,0
657279,TR-0800,TW-2270,0,0
657281,TR-0800,JW-6000,10,1
657283,SB-1100,ZE-0100,2,1
657286,SB-1100,DS-3300,5,1
657288,TR-0800,JW-6000,5,1
657290,TR-0800,JW-6000,5,1
657292,TR-0800,CB-1130,0,0
657293,TR-0800,JW-6000,11,1
657295,TR-0800,JW-6000,7,1
657296,TR-0800,TW-2270,0,0
657297,TR-0800,LD-0850,0,0
657299,TR-0800,LD-0850,0,0
657302,TR-0800,JW-6000,11,1
657303,TR-0800,TW-2270,8,1
657305,TR-0800,CB-1130,-2,1
657308,TR-0800,TW-2270,0,0
657311,SB-1100,NA-0050,12,1
657314,SB-1100,DS-3300,11,1
657318,SB-1100,NA-0050,0,0
657319,SB-1100,ZE-0100,0,0
657320,SB-1100,RC-2300,0,0
657324,TR-0800,DS-4750,0,0
657325,TR-0800,LD-0850,39,1
657329,SB-1100,DM-4300,18,1
657330,SB-1100,DM-4300,2,1
657334,SB-1100,ZE-0100,9,1
657335,SB-1100,DS-3300,5,1
657336,SB-1100,JH-5750,9,1
657337,SB-1100,DM-4300,4,1
657338,SB-1100,NA-0050,0,0
657339,SB-1100,ZE-0100,0,0
657342,BW-0850,CB-1130,9,1
657345,BW-0850,LD-0850,2,1
657348,SB-1100,JM-1550,0,0
657350,SB-1100,DM-4300,22,1
657352,SB-1100,RC-2300,0,0
657353,SB-1100,NA-0050,0,0
657362,BW-0850,CB-1130,6,1
657366,BW-0850,GE-0250,3,1
657370,BW-0850,JW-6000,7,1
657371,BW-0850,LD-0850,4,1
657373,SB-1100,JH-5750,11,1
657374,SB-1100,JM-1550,13,1
657375,SB-1100,ZE-0100,0,0
657379,BW-0850,TW-2270,42,1
657383,SB-1100,JM-1550,10,1
657384,SB-1100,NA-0050,11,1
657385,SB-1100,ZE-0100,6,1
657386,SB-1100,JM-1550,32,1
657387,SB-1100,JH-5750,0,0
657388,SB-1100,JM-1550,9,1
657394,SB-1100,JM-1550,10,1
657395,SB-1100,JM-1550,6,1
657402,AR-1300,RR-1050,9,1
657404,AR-1300,RC-1500,22,1
657405,AR-1300,,0,0
657408,AR-1300,DA-0212,11,1
657412,AR-1300,RC-1500,0,0
657413,AR-1300,JJ-4200,29,1
657416,RW-3850,TL-1025,0,1
657421,AR-1300,DA-0212,2,1
657426,RW-3850,DC-2850,0,1
657427,RW-3850,DB-0500,32,1
657428,RW-3850,JG-2900,0,0
657432,RW-3850,LW-1450,0,0
657435,AR-1300,JS-6200,6,1
657438,AR-1300,RC-1500,0,0
657439,AR-1300,JS-6200,4,1
657441,RW-3850,ML-2500,12,1
657442,RW-3850,LW-1450,12,1
657446,RW-3850,JK-0250,0,0
657448,AR-1300,RC-1500,14,1
657449,AR-1300,DA-0212,1,1
657451,AR-1300,DA-0212,13,1
657453,AR-1300,JS-6200,0,1
657457,RW-3850,DB-0500,6,1
657463,AR-1300,RC-1500,0,0
657465,AR-1300,RC-1500,6,1
657468,RW-3850,ML-2500,0,0
657474,AR-1300,RC-1500,25,1
657475,AR-1300,RC-1500,9,1
657476,AR-1300,JJ-4200,0,0
657477,AR-1300,RR-1050,0,0
657481,RW-3850,LW-1450,24,1
657483,RW-3850,JK-0250,0,0
657484,RW-3850,TL-1025,17,1
657485,RW-3850,DB-0500,13,1
657489,RW-3850,ML-2500,1,1
657491,RW-3850,FJ-0100,5,1
657495,AR-1300,,0,0
657498,RW-3850,JG-2900,11,1
657500,RW-3850,LW-1450,0,0
657501,RW-3850,CM-0850,13,1
657502,RW-3850,DB-0500,13,1
657505,AR-1300,DA-0212,6,1
657509,AR-1300,JJ-4200,0,0
657511,AR-1300,JS-6200,1,1
657514,RW-3850,DB-0500,5,1
657518,RW-3850,CM-0850,0,0
657519,RW-3850,ML-2500,0,0
657520,RW-3850,DB-0500,0,0
657524,AR-1300,RC-1500,18,1
657526,AR-1300,RC-1500,19,1
657527,AR-1300,RR-1050,9,1
657528,AR-1300,RC-1500,3,1
657529,AR-1300,TM-3150,17,1
657530,AR-1300,TM-3150,2,1
657532,AR-1300,TM-3150,5,1
657533,AR-1300,RR-1050,5,1
657540,RW-3850,ML-2500,0,0
657545,AR-1300,TM-3150,13,1
657551,RW-3850,DB-0500,8,1
657552,RW-3850,DB-0500,15,1
657554,RW-3850,ML-2500,8,1
657555,RW-3850,,0,0
657556,RW-3850,FJ-0100,11,1
657559,RF-0500,ED-0200,12,1
657562,RF-0500,BM-0300,5,1
657563,RF-0500,ED-0200,14,1
657566,AL-1100,TH-1850,0,0
657569,AL-1100,AJ-0900,4,1
657572,AL-1100,AJ-0900,0,0
657573,RF-0500,ED-0200,0,0
657577,RF-0500,ED-0200,6,1
657581,AL-1100,DM-2775,30,1
657584,AL-1100,JR-1600,0,0
657585,AL-1100,TH-1850,0,0
657587,RF-0500,ED-0200,0,0
657589,RF-0500,CO-1300,0,0
657592,AL-1100,JR-2775,1,1
657593,AL-1100,PD-0800,0,0
657597,RF-0500,BM-0300,42,1
657600,RF-0500,QE-0100,0,0
657601,RF-0500,CO-1300,0,0
657604,AL-1100,DM-2775,5,1
657605,AL-1100,,0,0
657609,RF-0500,ED-0200,16,1
657610,RF-0500,ED-0200,4,1
657613,RF-0500,BM-0300,0,0
657616,AL-1100,AJ-0900,0,0
657618,RF-0500,ED-0200,20,1
657619,RF-0500,CI-0300,1,1
657620,RF-0500,ED-0200,19,1
657621,RF-0500,BP-1200,1,1
657622,RF-0500,BP-1200,0,1
657624,RF-0500,BM-0300,6,1
657627,RF-0500,BP-1200,0,0
657630,AL-1100,AJ-0900,12,1
657631,AL-1100,AJ-0900,0,0
657632,AL-1100,PD-0800,0,0
657634,RF-0500,ED-0200,6,1
657635,RF-0500,BP-1200,6,1
657636,RF-0500,QE-0100,0,0
657637,RF-0500,BM-0300,0,0
657642,AL-1100,FG-0200,4,1
657643,AL-1100,DM-2775,15,1
657644,AL-1100,,0,0
657645,AL-1100,TH-1850,3,1
657646,AL-1100,DM-2775,24,1
657647,AL-1100,PD-0800,0,0
657648,AL-1100,TH-1850,8,1
657651,AL-1100,DM-2775,0,0
657652,AL-1100,DM-2775,15,1
657656,AL-1100,TH-1850,7,1
657660,RF-0500,BM-0300,5,1
657662,RF-0500,BM-0300,0,0
657665,AL-1100,TH-1850,0,0
657666,AL-1100,PD-0800,0,0
657670,RF-0500,BM-0300,16,1
657673,RF-0500,ED-0200,0,0
657679,AL-1100,TH-1850,27,1
657680,AL-1100,PD-0800,0,0
657681,AL-1100,PD-0800,25,1
657682,AL-1100,DM-2775,26,1
657685,RF-0500,BM-0300,12,1
657686,RF-0500,CI-0300,2,1
657687,RF-0500,QE-0100,27,1
657689,RF-0500,CO-1300,0,0
657692,RF-0500,BM-0300,15,1
657695,AL-1100,DM-2775,7,1
657696,AL-1100,JR-2775,3,1
657698,AL-1100,AJ-0900,11,1
657699,AL-1100,AJ-0900,0,0
657702,RF-0500,BP-1200,9,1
657710,AL-1100,JR-2775,9,1
657711,AL-1100,JR-2775,5,1
657712,AL-1100,JR-2775,9,1
657714,KC-2350,JR-1150,4,1
657717,KC-2350,CT-1220,0,0
657721,EM-0200,OB-0075,5,1
657724,EM-0200,LD-0650,4,1
657726,EM-0200,DF-0500,0,1
657729,KC-2350,PG-0100,0,0
657730,EM-0200,OB-0075,6,1
657731,EM-0200,RR-0130,7,1
657740,EM-0200,DF-0500,4,1
657741,EM-0200,RR-0130,30,1
657743,EM-0200,RJ-0800,18,1
657745,EM-0200,LD-0650,0,0
657747,EM-0200,SV-0200,0,0
657751,KC-2350,PG-0100,5,1
657753,KC-2350,AR-1100,18,1
657756,KC-2350,RG-1650,0,0
657758,KC-2350,JR-1150,0,0
657762,EM-0200,RR-0130,10,1
657765,EM-0200,DF-0500,23,1
657767,EM-0200,DH-1800,0,0
657768,EM-0200,LD-0650,0,0
657771,KC-2350,PG-0100,0,0
657773,KC-2350,JR-1150,20,1
657775,KC-2350,JC-5680,15,1
657777,KC-2350,JC-5680,6,1
657778,KC-2350,PG-0100,11,1
657779,KC-2350,PG-0100,19,1
657781,KC-2350,AR-1100,0,0
657782,KC-2350,JR-1150,0,0
657786,EM-0200,OB-0075,14,1
657787,EM-0200,RJ-0800,7,1
657788,EM-0200,OB-0075,12,1
657789,EM-0200,OB-0075,0,0
657791,EM-0200,OB-0075,8,1
657792,EM-0200,SV-0200,0,0
657799,EM-0200,RJ-0800,0,1
657800,EM-0200,RR-0130,9,1
657802,EM-0200,RR-0130,8,1
657806,EM-0200,OB-0075,4,1
657808,EM-0200,SV-0200,0,0
657809,EM-0200,LD-0650,0,0
657814,KC-2350,RG-1650,3,1
657815,KC-2350,JR-1150,18,1
657817,KC-2350,JR-1150,13,1
657818,KC-2350,DC-0775,0,0
657819,EM-0200,RR-0130,11,1
657822,EM-0200,LD-0650,6,1
657827,EM-0200,LD-0650,22,1
657829,EM-0200,OB-0075,30,1
657832,KC-2350,PG-0100,15,1
657833,KC-2350,JR-1150,15,1
657834,KC-2350,JR-1150,0,0
657835,KC-2350,RG-1650,0,0
657836,KC-2350,CT-1220,8,1
657837,KC-2350,RG-1650,6,1
657838,KC-2350,RR-1150,7,1
657839,KC-2350,CT-1220,0,0
657840,KC-2350,JC-5680,6,1
657842,KC-2350,AR-1100,0,0
657843,KC-2350,RG-1650,0,0
657845,KC-2350,CT-1220,14,1
657853,KC-2350,PG-0100,14,1
657854,KC-2350,PG-0100,0,0
657856,KC-2350,PG-0100,0,0
657857,KC-2350,PG-0100,0,0
657858,KC-2350,CT-1220,1,1
657859,KC-2350,CT-1220,10,1
657860,KC-2350,JC-5680,6,1
657861,KC-2350,JR-1150,26,1
657862,KC-2350,JC-5680,12,1
657863,KC-2350,CT-1220,7,1
657864,KC-2350,CT-1220,4,1
657869,EM-0200,RR-0130,41,1
657876,EM-0200,OB-0075,0,0
657878,KC-2350,JC-5680,0,1
657879,KC-2350,CT-1220,6,1
657880,KC-2350,CT-1220,0,0
657882,KC-2350,PG-0100,0,0
657883,KC-2350,CT-1220,7,1
657884,KC-2350,RR-1150,20,1
657885,KC-2350,PG-0100,0,0
657897,BW-0850,JW-6000,19,1
657900,BW-0850,JR-0250,9,1
657902,BW-0850,CB-1130,8,1
657903,BW-0850,CB-1130,20,1
657907,MR-2500,JJ-4700,5,1
657908,MR-2500,LH-0600,21,1
657909,MR-2500,JJ-4700,0,0
657911,MR-2500,JJ-4700,0,0
657912,MR-2500,JJ-4700,12,1
657914,MR-2500,LH-0600,0,0
657915,MR-2500,JJ-4700,10,1
657916,MR-2500,JJ-4700,0,0
657921,BW-0850,JR-0250,9,1
657924,BW-0850,LD-0850,8,1
657929,MR-2500,DF-1875,6,1
657930,MR-2500,JJ-4700,0,0
657934,BW-0850,JW-6000,7,1
657935,BW-0850,LD-0850,14,1
657937,BW-0850,JW-6000,11,1
657944,MR-2500,JT-0300,8,1
657945,MR-2500,LH-0600,0,0
657947,BW-0850,JW-6000,0,0
657949,MR-2500,DF-1875,4,1
657954,MR-2500,JJ-4700,0,0
657958,BW-0850,CB-1130,15,1
657960,BW-0850,JW-6000,7,1
657961,BW-0850,LD-0850,15,1
657962,BW-0850,LD-0850,22,1
657966,MR-2500,DF-1875,7,1
657967,MR-2500,LH-0600,15,1
657968,MR-2500,DF-1875,35,1
657969,MR-2500,LH-0600,9,1
657970,MR-2500,,0,0
657973,MR-2500,JJ-4700,0,0
657975,MR-2500,JJ-4700,14,1
657978,MR-2500,JJ-4700,0,0
657979,MR-2500,JJ-4700,0,0
657984,BW-0850,LD-0850,3,1
657985,BW-0850,LD-0850,17,1
657988,MR-2500,PD-0700,4,1
657989,MR-2500,JJ-4700,22,1
657992,MR-2500,JJ-4700,45,1
657996,BW-0850,TW-2270,0,0
657999,BW-0850,JW-6000,12,1
658001,BW-0850,JW-6000,0,0
658002,BW-0850,LD-0850,6,1
658005,MR-2500,JJ-4700,15,1
658010,MR-2500,JJ-4700,14,1
658011,MR-2500,DF-1875,0,1
658012,MR-2500,JJ-4700,6,1
658013,MR-2500,NW-0500,6,1
658018,BW-0850,CB-1130,6,1
658023,MR-2500,LH-0600,0,0
658024,MR-2500,JJ-4700,9,1
658027,MR-2500,LT-0550,6,1
658028,MR-2500,JJ-4700,10,1
658031,MR-2500,JJ-4700,2,1
658034,BW-0850,JW-6000,9,1
658035,BW-0850,LD-0850,6,1
658036,BW-0850,LD-0850,3,1
658037,BW-0850,LD-0850,6,1
658039,BW-0850,TW-2270,0,0
658045,MM-0912,HD-0300,8,1
658046,MM-0912,AA-1350,0,0
658052,AL-1100,DM-2775,0,0
658055,MM-0912,HD-0300,0,0
658056,MM-0912,HD-0300,2,1
658060,AL-1100,JD-2550,9,1
658062,AL-1100,DM-2775,0,0
658063,AL-1100,CF-0650,0,0
658064,AL-1100,TH-1850,48,1
658070,MM-0912,JH-6400,29,1
658073,MM-0912,CS-3900,2,1
658076,AL-1100,DM-2775,5,1
658081,MM-0912,DW-0500,0,0
658082,MM-0912,HD-0300,10,1
658083,MM-0912,DW-0500,6,1
658085,MM-0912,DW-0500,0,0
658089,MM-0912,AA-1350,12,1
658090,MM-0912,DW-0500,8,1
658091,MM-0912,DM-1200,35,1
658095,MM-0912,KW-2550,0,0
658096,MM-0912,JH-6400,0,0
658101,AL-1100,DM-2775,9,1
658104,MM-0912,KW-2550,16,1
658107,MM-0912,DW-0500,0,0
658108,MM-0912,KW-2550,0,0
658109,MM-0912,AF-0200,26,1
658111,MM-0912,KW-2550,5,1
658112,MM-0912,DW-0500,19,1
658116,MM-0912,DG-2650,0,0
658117,MM-0912,KW-2550,7,1
658121,AL-1100,CF-0650,19,1
658126,AL-1100,DM-2775,0,0
658130,MM-0912,BS-0650,20,1
658132,MM-0912,DW-0500,5,1
658133,MM-0912,KW-2550,18,1
658134,MM-0912,BS-0650,11,1
658135,MM-0912,KW-2550,24,1
658139,AL-1100,TH-1850,0,0
658140,MM-0912,DG-2650,3,1
658143,AL-1100,FG-0200,0,0
658145,AL-1100,AJ-0900,0,0
658146,AL-1100,CF-0650,10,1
658149,AL-1100,TH-1850,16,1
658150,AL-1100,TH-1850,0,0
658152,MM-0912,KW-2550,0,0
658153,MM-0912,KW-2550,5,1
658155,MM-0912,,0,0
658161,AL-1100,CF-0650,0,0
658162,AL-1100,TV-0150,0,0
658166,MM-0912,CS-3900,27,1
658173,AL-1100,DM-2775,7,1
658175,AL-1100,PD-0800,8,1
658176,AL-1100,TH-1850,9,1
658177,AL-1100,FG-0200,8,1
658178,AL-1100,TH-1850,21,1
658179,AL-1100,CF-0650,13,1
658180,AL-1100,CF-0650,9,1
658181,AL-1100,TH-1850,0,0
658183,AL-1100,PD-0800,0,0
658186,AL-1100,PD-0800,35,1
658190,MM-0912,KW-2550,0,0
658191,AL-1100,DM-2775,11,1
658194,MM-0912,KW-2550,0,0
658195,MM-0912,DM-1200,0,0
658196,MM-0912,HD-0300,0,0
658198,AL-1100,JD-2550,19,1
658200,AL-1100,JD-2550,4,1
658206,MM-0912,DW-0500,6,1
658207,MM-0912,DW-0500,13,1
658208,MM-0912,KW-2550,20,1
658209,MM-0912,DW-0500,11,1
658210,MM-0912,HD-0300,0,0
658211,MM-0912,DG-2650,19,1
658212,MM-0912,AF-0200,0,0
658222,DC-0725,AC-2350,13,1
658224,DC-0725,MC-2900,0,0
658225,DC-0725,AC-2350,18,1
658227,DC-0725,SR-0750,0,0
658228,DC-0725,AC-2350,23,1
658230,DC-0725,MC-2900,14,1
658231,DC-0725,RH-1600,12,1
658234,DC-0725,MC-2900,0,0
658241,JM-2900,GB-0200,6,1
658242,JM-2900,DJ-1850,-1,1
658246,DC-0725,AC-2350,9,1
658250,DC-0725,MC-2900,0,0
658252,JM-2900,TB-1060,0,0
658254,JM-2900,BH-0800,17,1
658257,JM-2900,GB-0200,10,1
658259,DC-0725,MR-0970,0,0
658261,DC-0725,AC-2350,0,0
658264,JM-2900,GB-0200,0,0
658265,JM-2900,RH-3000,0,0
658271,DC-0725,LM-1850,10,1
658273,DC-0725,MC-2900,10,1
658274,DC-0725,AC-2350,0,0
658276,DC-0725,AC-2350,40,1
658278,DC-0725,MC-2900,0,0
658281,DC-0725,AH-3600,3,1
658284,JM-2900,TB-1060,0,0
658286,JM-2900,GB-0200,40,1
658287,JM-2900,TG-0025,0,0
658288,JM-2900,AH-1900,0,0
658289,JM-2900,GB-0200,15,1
658291,JM-2900,TB-1060,17,1
658294,JM-2900,GB-0200,0,0
658300,DC-0725,SR-0750,36,1
658301,DC-0725,SR-0750,0,0
658303,DC-0725,SR-0750,13,1
658306,JM-2900,BH-0800,0,0
658310,JM-2900,TB-1060,0,0
658313,DC-0725,MC-2900,5,1
658315,DC-0725,MR-0500,0,0
658320,DC-0725,MC-2900,0,0
658321,DC-0725,MC-2900,7,1
658324,JM-2900,DJ-1850,8,1
658327,JM-2900,BH-0800,0,0
658328,JM-2900,BH-0800,10,1
658329,JM-2900,TB-1060,8,1
658330,JM-2900,GB-0200,0,0
658331,JM-2900,RH-3000,0,0
658332,JM-2900,GB-0200,6,1
658333,JM-2900,DJ-1850,2,1
658334,JM-2900,DJ-1850,0,1
658335,JM-2900,BH-0800,9,1
658336,JM-2900,TG-0025,8,1
658338,JM-2900,GB-0200,28,1
658342,DC-0725,MR-0500,55,1
658344,DC-0725,SR-0750,7,1
658351,JM-2900,AH-1900,0,0
658352,JM-2900,BH-0800,41,1
658354,JM-2900,TG-0025,9,1
658356,JM-2900,TB-1060,0,0
658357,JM-2900,AH-1900,0,0
658361,DC-0725,AC-2350,17,1
658364,DC-0725,AC-2350,7,1
658365,DC-0725,AC-2350,7,1
658366,JM-2900,AH-1900,8,1
658368,JM-2900,TB-1060,16,1
658369,JM-2900,AH-1900,0,0
658370,JM-2900,TG-0025,11,1
658371,JM-2900,GB-0200,0,0
658372,JM-2900,TB-1060,4,1
658378,DC-0725,LS-1550,8,1
658382,DC-0725,AC-2350,0,0
658385,JM-2900,TB-1060,0,0
658386,JM-2900,AH-1900,10,1
658387,JM-2900,TG-0025,0,0
658388,JM-2900,DJ-1850,5,1
658389,JM-2900,BH-0800,19,1
658390,JM-2900,DJ-1850,0,0
658391,JM-2900,MM-4500,15,1
658392,JM-2900,DJ-1850,18,1
658393,JM-2900,SD-0800,2,1
658395,JM-2900,TB-1060,0,0
658398,JF-1900,KJ-1400,9,1
658400,JF-1900,JF-2800,0,0
658402,JF-1900,MB-4050,8,1
658406,AD-0100,MJ-2250,32,1
658413,AD-0100,AG-1500,0,0
658423,JF-1900,MW-2450,0,0
658425,JF-1900,SS-2100,7,1
658426,JF-1900,CG-1030,19,1
658429,JF-1900,SS-2100,2,1
658431,JF-1900,SS-2100,8,1
658432,JF-1900,KA-0400,0,0
658439,AD-0100,GB-0350,0,0
658441,JF-1900,CG-1030,16,1
658443,JF-1900,SS-2100,0,0
658445,JF-1900,KJ-1400,0,0
658446,AD-0100,MJ-2250,0,0
658448,AD-0100,MJ-2250,0,0
658449,AD-0100,MJ-2250,16,1
658453,JF-1900,CG-1030,5,1
658454,JF-1900,SS-2100,0,0
658458,JF-1900,SS-2100,5,1
658459,JF-1900,NB-0450,6,1
658463,AD-0100,AG-1500,7,1
658465,AD-0100,AG-1500,4,1
658466,AD-0100,AG-1500,17,1
658468,AD-0100,AG-1500,31,1
658469,AD-0100,AG-1500,14,1
658470,AD-0100,MS-0150,0,0
658473,AD-0100,MS-0150,9,1
658474,AD-0100,TE-0300,0,0
658475,JF-1900,SS-2100,14,1
658476,JF-1900,JF-2800,8,1
658477,JF-1900,MB-4050,0,0
658479,JF-1900,MB-4050,0,0
658481,AD-0100,GB-0350,9,1
658482,AD-0100,MJ-2250,0,0
658487,AD-0100,MJ-2250,10,1
658490,AD-0100,AG-1500,47,1
658492,AD-0100,TE-0300,0,0
658494,AD-0100,AG-1500,0,0
658496,JF-1900,KJ-1400,2,1
658497,JF-1900,SS-2100,20,1
658499,JF-1900,JF-2800,5,1
658500,JF-1900,SS-2100,12,1
658502,JF-1900,SS-2100,50,1
658505,AD-0100,AG-1500,6,1
658510,JF-1900,JF-2800,4,1
658511,JF-1900,JF-2800,0,0
658512,JF-1900,MB-4050,21,1
658514,JF-1900,LT-0050,6,1
658515,JF-1900,SS-2100,20,1
658517,JF-1900,JF-2800,-1,1
658519,JF-1900,NB-0450,13,1
658520,JF-1900,SS-2100,7,1
658522,JF-1900,MC-0150,0,1
658526,AD-0100,MJ-2250,5,1
658529,AD-0100,GB-0350,2,1
658530,AD-0100,TE-0300,0,0
658535,JF-1900,MW-2450,0,0
658536,JF-1900,MW-2450,0,0
658539,AD-0100,AG-1500,14,1
658541,AD-0100,MS-0150,0,0
658545,AD-0100,AG-1500,80,1
658548,JF-1900,MW-2450,28,1
658549,JF-1900,,0,0
658550,JF-1900,SS-2100,9,1
658551,JF-1900,SS-2100,16,1
658552,JF-1900,MB-4050,0,0
658553,JF-1900,JF-2800,0,0
658554,JF-1900,MC-0150,11,1
658555,JF-1900,MW-2450,9,1
658556,JF-1900,SS-2100,16,1
658559,AD-0100,AG-1500,0,0
658560,AD-0100,GB-0350,23,1
658561,AD-0100,MS-0150,19,1
658562,AD-0100,MJ-2250,31,1
658564,AD-0100,AG-1500,7,1
658567,JF-1900,MW-2450,7,1
658568,JF-1900,SS-2100,0,0
658569,JF-1900,SS-2100,0,0
658571,JF-1900,MW-2450,0,0
658577,BB-2425,AR-1250,0,0
658579,BB-2425,AR-1250,0,0
658581,TB-2300,DL-1700,3,1
658582,TB-2300,RG-2200,10,1
658583,TB-2300,RG-2200,43,1
658584,TB-2300,RG-2200,0,0
658589,BB-2425,AR-1250,7,1
658591,BB-2425,ML-0650,0,0
658592,BB-2425,CH-1200,26,1
658595,BB-2425,ML-1500,0,0
658598,TB-2300,JE-0100,16,1
658599,TB-2300,DL-1700,4,1
658601,TB-2300,JE-0100,19,1
658602,TB-2300,JE-0100,6,1
658604,TB-2300,AD-1450,0,0
658607,TB-2300,DA-0900,11,1
658616,BB-2425,CG-1950,8,1
658617,BB-2425,ML-0650,13,1
658619,BB-2425,AR-1250,0,0
658620,BB-2425,AH-3900,11,1
658622,BB-2425,AH-3900,0,0
658624,BB-2425,CG-1950,0,0
658627,BB-2425,AH-3900,0,0
658630,TB-2300,,0,0
658631,TB-2300,KM-0450,13,1
658633,TB-2300,DL-1700,6,1
658635,TB-2300,LB-0500,14,1
658637,TB-2300,JE-0100,4,1
658639,TB-2300,DA-0900,8,1
658641,TB-2300,JE-0100,0,0
658642,TB-2300,RG-2200,0,0
658645,BB-2425,BW-0400,23,1
658647,BB-2425,BW-0400,5,1
658648,BB-2425,ML-1500,0,0
658649,TB-2300,DL-1700,8,1
658651,TB-2300,DL-1700,9,1
658652,TB-2300,JE-0100,0,0
658654,TB-2300,RG-2200,27,1
658656,TB-2300,DA-0900,1,1
658659,BB-2425,BP-0650,-3,1
658661,TB-2300,KM-0450,7,1
658662,TB-2300,JE-0100,16,1
658663,TB-2300,RG-2200,21,1
658664,TB-2300,JE-0100,0,0
658665,TB-2300,JE-0100,9,1
658668,TB-2300,RG-2200,0,0
658672,BB-2425,AR-1250,0,0
658674,BB-2425,AR-1250,0,0
658683,BB-2425,AR-1250,4,1
658685,BB-2425,TY-0150,9,1
658686,BB-2425,BP-0650,0,0
658688,BB-2425,AH-3900,59,1
658691,TB-2300,JW-2550,11,1
658692,TB-2300,JE-0100,4,1
658693,TB-2300,JE-0100,11,1
658697,TB-2300,KM-0450,13,1
658700,BB-2425,TY-0150,0,1
658701,BB-2425,TY-0150,0,0
658705,TB-2300,AD-1450,5,1
658706,TB-2300,SC-0400,17,1
658713,BB-2425,CH-1200,0,0
