pid,psr,trg,yds,comp
652773,BH-1900,RG-1870,18,1
652776,BH-1900,NW-0100,0,0
652781,BH-1900,DH-3950,16,1
652782,BH-1900,AB-1975,0,0
652784,BH-1900,NW-0100,0,0
652787,AS-1600,TK-0150,9,1
652791,BH-1900,NW-0100,0,0
652792,BH-1900,CS-1500,0,0
652794,AS-1600,JM-0200,0,0
652798,AS-1600,JC-2300,0,0
652799,AS-1600,JO-0150,0,0
652802,BH-1900,CF-0375,15,1
652804,BH-1900,NW-0100,32,1
652806,BH-1900,DH-3950,5,1
652807,BH-1900,DH-3950,0,0
652811,AS-1600,,0,0
652812,AS-1600,DT-0850,2,1
652815,BH-1900,CS-1500,7,1
652816,BH-1900,DH-3950,14,1
652819,BH-1900,CP-1950,9,1
652825,AS-1600,TK-0150,16,1
652827,AS-1600,JM-0200,0,0
652829,AS-1600,AW-1650,6,1
652833,BH-1900,,0,0
652834,BH-1900,DH-3950,0,0
652838,AS-1600,AW-1650,6,1
652839,AS-1600,AS-0900,0,1
652841,RM-0300,DH-3950,8,1
652842,RM-0300,DH-3950,14,1
652843,RM-0300,RG-1870,0,0
652844,RM-0300,DH-3950,12,1
652846,RM-0300,JG-3850,2,1
652847,RM-0300,DH-3950,8,1
652851,AS-1600,,0,0
652852,AS-1600,TK-0150,11,1
652859,RM-0300,KM-3250,17,1
652861,RM-0300,KM-3250,0,0
652862,RM-0300,CS-1500,20,1
652863,RM-0300,DH-3950,17,1
652864,RM-0300,NW-0100,0,0
652865,RM-0300,JG-3850,0,0
652866,RM-0300,GG-0400,0,0
652874,RF-0500,ED-0200,22,1
652876,RF-0500,CO-1300,5,1
652877,RF-0500,BM-0300,0,0
652879,JM-2900,JD-2600,0,0
652883,JM-2900,MJ-1175,8,1
652884,JM-2900,TG-0025,11,1
652888,JM-2900,GB-0200,2,1
652889,JM-2900,MJ-1175,6,1
652890,JM-2900,GB-0200,22,1
652895,JM-2900,RH-3000,0,0
652896,JM-2900,SD-0800,0,0
652905,JM-0850,JD-2600,13,1
652909,JM-0850,TB-1060,54,1
652914,RF-0500,BM-0300,0,0
652915,RF-0500,ED-0200,0,0
652916,RF-0500,CO-1300,43,1
652917,RF-0500,BM-0300,0,0
652918,RF-0500,CI-0300,9,1
652927,RF-0500,KD-0400,0,0
652931,JM-0850,AH-1900,0,0
652933,JM-0850,BH-0800,11,1
652934,JM-0850,TB-1060,15,1
652936,JM-0850,AH-1900,0,0
652941,RF-0500,BM-0300,11,1
652942,RF-0500,CO-1300,8,1
652943,RF-0500,BP-1200,11,1
652944,RF-0500,BM-0300,9,1
652945,RF-0500,BM-0300,6,1
652946,RF-0500,BP-1200,5,1
652947,RF-0500,CO-1300,0,0
652949,RF-0500,ED-0200,15,1
652954,JM-0850,AH-1900,6,1
652957,JM-0850,JD-2600,0,0
652958,JM-0850,BH-0800,9,1
652962,JM-0850,BH-0800,0,0
652965,RF-0500,BM-0300,17,1
652968,RF-0500,BM-0300,1,1
652971,JM-0850,IC-0300,8,1
652973,JM-0850,GB-0200,0,0
652976,RF-0500,CO-1300,-1,1
652977,RF-0500,BM-0300,18,1
652984,RF-0500,BP-1200,0,0
652989,JM-0850,GB-0200,0,0
652990,JM-0850,AH-1900,7,1
652991,JM-0850,AH-1900,0,0
653001,JM-0850,TB-1060,20,1
653002,JM-0850,IC-0300,5,1
653004,JM-0850,BH-0800,0,0
653008,RF-0500,BP-1200,0,0
653010,JM-0850,BH-0800,0,0
653011,JM-0850,TG-0025,9,1
653012,JM-0850,TG-0025,0,0
653013,JM-0850,GB-0200,14,1
653016,JM-0850,AH-1900,11,1
653017,JM-0850,TG-0025,0,0
653018,RF-0500,CO-1300,0,0
653028,AL-1100,TH-1850,11,1
653029,AL-1100,DA-0850,8,1
653034,AL-1100,TH-1850,0,0
653035,AL-1100,DM-2775,0,0
653038,TT-0500,LM-1000,20,1
653040,TT-0500,PH-0400,6,1
653043,AL-1100,TH-1850,16,1
653044,AL-1100,TH-1850,0,0
653045,AL-1100,DM-2775,0,0
653046,AL-1100,FG-0200,0,0
653051,TT-0500,CC-2100,5,1
653052,TT-0500,JF-1000,0,0
653053,TT-0500,PH-0400,11,1
653055,AL-1100,TH-1850,12,1
653057,AL-1100,TH-1850,0,0
653058,AL-1100,TH-1850,30,1
653059,AL-1100,TH-1850,0,0
653061,TT-0500,LM-1000,4,1
653062,TT-0500,RW-4050,15,1
653064,TT-0500,PH-0400,51,1
653067,AL-1100,DM-2775,6,1
653068,AL-1100,TH-1850,0,0
653069,AL-1100,AJ-0900,9,1
653070,AL-1100,DA-0850,3,1
653073,AL-1100,TH-1850,8,1
653075,TT-0500,CC-2100,27,1
653079,TT-0500,LM-1000,0,0
653085,AL-1100,TH-1850,6,1
653088,AL-1100,DM-2775,0,0
653089,AL-1100,DM-2775,15,1
653092,AL-1100,TH-1850,0,0
653093,AL-1100,AJ-0900,0,0
653094,AL-1100,DM-2775,0,0
653096,TT-0500,PH-0400,8,1
653106,TT-0500,LM-1000,22,1
653107,TT-0500,CC-2100,11,1
653108,TT-0500,PH-0400,3,1
653110,TT-0500,RW-4050,12,1
653120,AL-1100,AJ-0900,0,0
653121,AL-1100,AJ-0900,7,1
653122,AL-1100,DM-2775,7,1
653126,AL-1100,AJ-0900,5,1
653127,AL-1100,DM-2775,6,1
653128,AL-1100,DM-2775,10,1
653131,AL-1100,TH-1850,5,1
653132,AL-1100,AJ-0900,3,1
653134,AL-1100,TH-1850,0,0
653136,AL-1100,DA-0850,0,0
653137,AL-1100,DM-2775,2,1
653142,TT-0500,CC-2100,0,1
653145,AL-1100,FG-0200,-2,1
653146,AL-1100,FG-0200,2,1
653150,TT-0500,SW-0450,0,0
653152,TT-0500,SW-0450,0,0
653157,TT-0500,SW-0450,0,0
653160,AL-1100,DA-0850,0,0
653161,AL-1100,DA-0850,0,0
653162,AL-1100,PD-0800,16,1
653163,AL-1100,PD-0800,29,1
653164,AL-1100,TV-0150,18,1
653166,AL-1100,AJ-0900,0,0
653167,AL-1100,DM-2775,0,0
653168,AL-1100,DA-0850,6,1
653178,AL-1100,CF-0650,5,1
653180,AL-1100,PD-0800,0,0
653181,AL-1100,AJ-0900,0,0
653182,AL-1100,AJ-0900,0,0
653183,AL-1100,AJ-0900,0,0
653189,KC-2350,AR-1100,4,1
653192,KC-2350,JR-1150,12,1
653196,KC-2350,JR-1150,9,1
653203,RT-0150,GJ-0400,8,1
653207,KC-2350,DJ-0200,0,0
653209,KC-2350,PG-0100,12,1
653212,KC-2350,JR-1150,0,0
653213,KC-2350,PG-0100,18,1
653218,RT-0150,JC-0400,0,0
653219,RT-0150,JL-0215,8,1
653220,RT-0150,JL-0215,5,1
653221,RT-0150,JL-0215,0,0
653223,RT-0150,JL-0215,0,0
653228,KC-2350,JR-1150,0,0
653229,RT-0150,DS-2170,0,0
653230,RT-0150,JC-0400,6,1
653231,RT-0150,DW-3125,3,1
653236,KC-2350,PG-0100,22,1
653242,KC-2350,JR-1150,6,1
653243,KC-2350,PG-0100,4,1
653245,KC-2350,DC-0775,9,1
653248,KC-2350,RG-1650,0,0
653249,KC-2350,JR-1150,4,1
653252,RT-0150,JC-0400,27,1
653253,RT-0150,GJ-0400,11,1
653255,RT-0150,KS-2350,0,0
653256,RT-0150,KS-2350,12,1
653257,RT-0150,JC-0400,0,0
653258,RT-0150,JC-0400,13,1
653259,RT-0150,JL-0215,0,0
653260,RT-0150,RM-1500,3,1
653265,RT-0150,RM-1500,15,1
653267,RT-0150,JC-0400,0,0
653268,RT-0150,JC-0400,27,1
653269,RT-0150,JL-0215,6,1
653270,RT-0150,RM-1500,0,0
653273,KC-2350,DY-0200,0,1
653274,KC-2350,JC-5680,0,1
653276,RT-0150,RM-1500,7,1
653278,RT-0150,JL-0215,4,1
653280,RT-0150,GJ-0400,10,1
653284,KC-2350,PG-0100,6,1
653287,KC-2350,JR-1150,25,1
653289,KC-2350,DC-0775,-1,1
653295,RT-0150,JL-0215,11,1
653298,RT-0150,JL-0215,20,1
653299,RT-0150,KS-2350,0,0
653302,RT-0150,JL-0215,-7,1
653305,RT-0150,JL-0215,6,1
653309,KC-2350,AR-1100,0,0
653316,KC-2350,AR-1100,18,1
653317,KC-2350,JR-1150,3,1
653318,KC-2350,RG-1650,15,1
